x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,class_label
2.165865127,2.607990557,3.413083201,1.063182019,1.244825853,1.73106961,3.050249384,3.386859322,3.019233519,2.266298146,1.885602657,2.092479561,2.741792981,2.771082789,3.47845558,0.89125345,1
3.334539229,3.912996618,1.285713031,2.405695609,2.053758576,2.548614078,2.881779326,2.503252659,1.945452919,1.815218316,3.094702795,1.886888103,2.212600822,2.694702503,3.165584117,2.501434938,1
2.112642603,2.356367731,1.968545373,2.441560109,1.941582477,3.448058829,3.043179786,3.134927516,1.748483462,3.475420594,2.553272798,2.489344515,2.332693778,1.078096136,3.020247208,2.17482186,1
-1.322133246,-2.868068095,-2.965287367,-2.467950113,-2.729820955,-2.604308852,-2.740404778,-3.096688663,-3.053280653,-1.201297334,-4.097481909,-2.101932639,-2.465305112,-2.552387846,-3.068610079,-0.953120611,1
2.113208232,3.470245658,2.248916919,2.873437899,2.349183481,3.09333658,1.60450081,1.467923046,2.405497849,3.113472034,2.292257908,3.002356914,2.220308879,1.533939697,3.160532984,1.844387803,1
-2.010818971,-2.932189448,-2.450372427,-2.079487956,-2.956260397,-4.251331039,-1.860068975,-1.893464106,-2.993494601,-2.367819137,-2.623432994,-2.037174777,-1.277276408,-1.982585225,-2.823258167,-3.773285006,1
-2.962116574,-2.996976362,-2.750404897,-2.310408983,-1.16409329,-1.974064623,-1.901825874,-3.133828702,-2.935832622,-3.311844433,-2.550116194,-2.611055093,-1.740853263,-2.501966368,-3.339192039,-2.319916243,1
-2.093068379,-3.184429608,-2.632284762,-1.921367504,-1.479350792,-1.776281981,-2.115193337,-1.996696846,-1.971680002,-3.47071787,-2.775840144,-3.114809805,-3.088188581,-2.218297489,-3.337406208,-2.096855571,1
2.981343731,1.574056352,1.948189663,2.826346816,2.842903253,2.448418048,2.310713452,1.597516076,3.102970351,2.582702883,2.289080419,1.801561824,1.552839022,2.797856473,2.930428928,3.90571942,1
2.214952883,3.304607215,3.162935068,2.783094316,2.055620054,2.243115895,2.810742954,2.030617032,1.777290399,1.861535981,2.794437931,2.312287827,2.956954591,2.257947252,2.215405805,2.222860549,1
-2.576861541,-2.876448177,-1.727455471,-0.648385829,-2.314378371,-2.108437862,-2.480812595,-3.3802884,-2.417847729,-2.95362753,-1.658979863,-2.05049272,-1.903565171,-2.532474316,-3.156876024,-2.648369008,1
1.372182689,2.084274467,2.020379563,2.960310975,1.856583272,1.459111955,2.125981258,1.880369168,0.8889785,3.20304886,2.686607378,1.943399206,1.454045695,2.492707397,1.366417137,1.628075046,1
-2.146672927,-2.248234824,-0.215871935,-0.881680345,-1.527943663,-3.212878343,-3.570248105,-2.091996998,-1.51083532,-1.600528667,-1.728887146,-2.542740997,-2.209789472,-1.988741772,-3.139987838,-2.176950611,1
2.488893016,1.50882982,1.855973538,2.788449734,1.731034317,2.812452042,2.411066375,3.968419754,2.300441437,1.441404094,3.013011293,3.633744156,2.767587501,3.331764281,3.131402536,2.474669106,1
2.215117016,1.491992758,1.931184511,2.401322661,1.940835285,2.686068005,3.189889,1.337895015,2.421123575,3.449803493,3.57677936,2.434771526,2.066964415,2.295320491,1.911340488,2.080467078,1
-2.833395271,-1.867507122,-2.705089342,-3.517660382,-2.467225165,-1.101380656,-3.093557243,-1.303356781,-2.686645892,-1.80698625,-3.133693783,-2.171904487,-3.374796902,-0.947518211,-3.286247423,-1.677405399,1
1.988608749,1.336580976,1.137863751,2.702444887,2.381608247,3.59648367,2.77684661,2.717127915,3.117233974,1.941459821,3.05589094,1.82779304,2.907005159,2.371994755,1.976405163,2.040451752,1
-0.92804077,-2.402408892,-2.036831118,-2.640498532,-2.702675884,-2.642615689,-3.32382327,-3.140085032,-1.053941749,-1.362723949,-3.049327656,-2.089135195,-2.527409642,-2.314916663,-2.219847144,-1.744879061,1
-1.593389757,-3.035391296,-2.418959645,-2.495799426,-2.852576381,-2.360088385,-2.669752571,-2.291118251,-2.096410807,-1.867154144,-3.192443006,-2.558914592,-2.547221836,-2.04815998,-2.340681952,-1.95579338,1
-2.646908964,-3.139119175,-1.425904538,-2.751872689,-2.185742977,-2.834033839,-2.011736515,-1.65998313,-3.284827016,-1.368324993,-0.804028133,-2.242284798,-2.700588944,-3.078418155,-2.829492319,-2.620311878,1
2.225985429,3.159400498,3.204557848,2.83311649,3.438945627,2.15075891,2.176302971,3.313168926,2.705715505,1.632018216,1.166760044,2.498799597,3.246781005,1.861667748,2.563664866,1.159590492,1
0.241683206,1.835341962,2.546358202,2.892888386,2.050113413,1.801425178,2.466681148,2.447786547,1.842487086,0.451421577,2.014664013,2.232633263,1.940268612,3.001996798,2.261723083,1.569259368,1
-0.604760593,-2.662272298,-1.317763848,-2.621078711,-1.142115458,-2.56141806,-2.192536658,-2.56796359,-2.302190564,-1.983040279,-2.12867663,-2.855248561,-2.788030643,-2.241060686,-2.044533418,-1.65500805,1
-2.373526136,-2.763219049,-2.076096755,-3.274180945,-1.756927854,-2.069399216,-1.927021226,-2.049837573,-3.732191726,-2.259929456,-1.892416321,-1.316843596,-2.071846046,-1.818853943,-2.56387979,-2.276441303,1
3.270265237,1.703682181,2.186243718,3.043443256,2.111893664,1.857295564,1.93025079,2.188565264,3.228181712,4.519102257,2.582322202,2.081055375,2.558094587,3.499972359,2.354038513,2.498360955,1
-2.483265101,-2.311345931,-3.450404752,-2.157142043,-1.707220938,-1.836418813,-1.312406117,-2.331934437,-2.936192848,-2.152993209,-3.111795577,-1.534718146,-2.811895586,-1.381943708,-2.677057523,-3.160072669,1
-3.06444184,-1.699939797,-2.300733091,-1.637770442,-3.176755111,-1.506484023,-2.474909079,-2.987052769,-1.91180324,-2.991270574,-3.836243245,-3.607602566,-2.646218356,-1.469008237,-2.485977299,-2.749875499,1
-1.507490726,-1.484910157,-3.086223401,-1.909598913,-1.546124136,-4.554082022,-2.962641855,-2.038116624,-3.338524787,-0.761806348,-2.281006026,-2.623940629,-2.053545299,-2.319677695,-3.379172469,-2.771932665,1
-3.258773235,-2.064218912,-3.026967397,-1.904333236,-2.759484519,-2.972152267,-2.491049907,-2.849038851,-2.022611403,-3.229128709,-2.805017445,-3.103233977,-2.759163408,-1.607640069,-2.175782553,-1.740690833,1
1.572871051,3.455042304,2.515698656,1.581184073,2.103577286,2.469451709,3.673580184,2.604039428,3.272610087,1.683883288,1.806588835,2.018703415,3.005160246,2.865546726,2.284776657,3.182502085,1
-2.051586069,-2.712184466,-2.695273846,-2.327032835,-2.296946545,-3.205584895,-0.926241593,-1.672419913,-3.127837883,-2.425856236,-1.113135341,-1.577807712,-1.639019432,-1.928979082,-2.101482531,-3.293748172,1
3.812226367,2.998014084,1.125813778,2.013393322,3.072773019,1.538113567,2.777156409,1.61704686,2.054461395,2.685187845,1.100508857,0.686491751,3.033739452,2.395584359,2.811240121,2.271240989,1
3.091804598,2.866521975,2.528673495,2.751087951,0.729756244,2.577645763,2.855601635,2.556197171,1.153037872,1.938035508,2.610482445,1.811091194,2.197776741,1.924642734,4.103217339,2.897834195,1
2.480946821,1.872437094,1.960150168,1.353582691,1.753540441,2.448310901,1.218988732,2.339598811,2.449626017,2.0283307,1.094342336,2.315159804,1.285764558,1.429504713,3.425992241,2.89166616,1
-1.516719415,-1.624316035,-2.67828443,-2.900482677,-1.87530733,-3.219511051,-3.217378829,-2.229569921,-2.480828946,-2.886578452,-1.609326201,-2.773309677,-1.306287112,-1.320905747,-3.889700269,-2.382262017,1
-2.0943506,-2.681509236,-2.251675328,-3.076130364,-2.447160385,-2.595551803,-2.554224816,-3.323672938,-2.914240005,-2.463970704,-2.572930727,-2.570302551,-2.488017056,-1.264130892,-2.447221091,-1.583251085,1
2.911077504,2.162271126,2.978116076,2.145629953,3.160373927,2.665163612,3.510109344,2.519169957,3.401352029,2.567140033,1.731697144,1.931299298,2.917273303,1.737887895,1.137249261,3.050691452,1
